序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
1,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),81,FGZ0173211H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,2.68%,0.06%,3.87%,0.06%,3.87%,0,3.87%,11.33%,2,0.0654,3,0.1383,3,0,0.2431,0,0.0008,0.2841,0,0.0016,0,0,0.00%,0.00%,-119.96,-119,-119,,,,,,,,,,,,61573,0,0,4968,9425,0.00%
2,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),82,FGZ0173212H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,1.26%,0.02%,3.78%,0.02%,3.78%,0,3.78%,12.16%,1,0.007,2,0.0394,2,0,0.0795,0,0.0002,0.589,0,0.0008,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,10141,0,0,643,948,0.00%
3,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),83,FGZ0173213H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,3.34%,0.07%,3.82%,0.07%,3.82%,0,3.82%,10.79%,2,0.031,3,0.1767,3,0,1.3134,0,0.0008,1.6887,0,0.0015,0,0,0.00%,0.00%,-119.91,-119,-119,,,,,,,,,,,,77024,0,0,2561,4008,0.00%
4,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),84,FGZ0173214R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,2.04%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.61%,0.34%,5.24%,0.34%,5.24%,0,5.24%,8.16%,4,0.1885,6,1.3022,6,1,1.4785,0,0.0067,4.3459,0,0.0181,0,0.01,0.00%,0.00%,-117.37,-117,-119,,,,,,,,,,,,648806,1,1,19532,19929,0.00%
5,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),85,FGZ0173215R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
6,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),86,FGZ0173216R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.59%,0.03%,4.12%,0.03%,4.12%,0,4.12%,9.85%,1,0.0159,3,0.1544,3,0,0.1589,0,0.0004,1.1517,0,0.0019,0,0,0.00%,0.00%,-119.75,-119,-119,,,,,,,,,,,,26425,1,48,1473,1624,0.00%
7,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),87,FGZ0173217R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.93%,0.02%,4.05%,0.02%,4.05%,0,4.05%,9.82%,1,0.0078,3,0.0944,3,0,0.2025,0,0.0003,2.6401,0,0.0012,0,0,0.00%,0.00%,-119.29,-119,-119,,,,,,,,,,,,25195,0,111,924,999,0.00%
8,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),88,FGZ0173218R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.32%,0.04%,4.11%,0.04%,4.11%,0,4.11%,9.30%,1,0.0202,3,0.2611,3,0,0.3566,0,0.0007,3.8011,0,0.003,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,51396,0,0,2297,3102,0.00%
9,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),89,FGZ0173219R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,5.13%,0.10%,4.23%,0.10%,4.23%,0,4.23%,8.99%,3,0.0892,4,0.5856,4,0,1.1985,0,0.0026,3.4328,0,0.007,0,0,0.00%,0.00%,-119.3,-119,-119,,,,,,,,,,,,98574,0,0,8827,10411,0.00%
10,2018/4/15 8:00,2018/4/15 9:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),81,FGZ0173241H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.39%,0.33%,4.13%,0.33%,4.13%,0,4.13%,9.61%,3,0.2165,5,0.5916,5,0,7.3865,0,0.0109,5.3761,0,0.0134,0,0.01,0.00%,0.00%,-119.98,-119,-119,,,,,,,,,,,,525286,0,0,22388,27979,0.00%
