序号,开始时间,结束时间,查询粒度,子网,子网名称,网元,网元名称,小区,小区名称,eNodeB,eNodeB名称,[LTE]小区无线接通率,[LTE]无线接通率,[LTE]无线接通率_1516610800155-0-0,[LTE]无线掉线率-,[FDD]RRC连接建立成功率,[FDD]E-RAB建立成功率,[FDD]RRC连接掉话率,E-RAB掉线率-FDD_1498916186273-0-9,[FDD]E-RAB阻塞率,[FDD]小区的可用率,[LTE]下行数据重传率,上行PRB平均利用率(集团),下行PRB平均利用率(集团),上行PRB利用率-扩容,下行PRB利用率-扩容,[LTE]上行PRB平均利用率(%),[LTE]下行PRB平均利用率(%),PDCCH信道CCE占用率-FDD_1498916186273-0-62,用户面最大激活UE数,用户面平均激活UE数,RRC连接建立最大用户数,RRC连接建立平均用户数,[FDD]最大的RRC连接建立个数,[FDD]平均的RRC连接建立个数,[FDD]小区上行PDCP层最大流量(兆比特/秒),[FDD]小区上行PDCP层最小流量(兆比特/秒),[FDD]小区上行PDCP层平均流量(兆比特/秒),[FDD]小区下行PDCP层最大流量(兆比特/秒),[FDD]小区下行PDCP层最小流量(兆比特/秒),[FDD]小区下行PDCP层平均流量(兆比特/秒),空口上行业务字节数(ZXJT)单位:GB ,空口下行业务字节数(ZXJT)单位:GB,小区上行BLER,小区下行BLER,RB平均干扰均值（0-24）,RB平均干扰均值(0-29),RB平均干扰均值（0-99）_1516610800155-0-16,"TA在范围[0,1)的上报次数","TA在范围[1,3)的上报次数","TA在范围[3,5)的上报次数","TA在范围[5,7)的上报次数","TA在范围[7,9)的上报次数","TA在范围[9,11)的上报次数","TA在范围[11,13)的上报次数","TA在范围[13,20)的上报次数","TA在范围[20,27)的上报次数","TA在范围[27,34)的上报次数","TA在范围[34,40)的上报次数",小区下行PDCP SDU时延(毫秒),小区上行PDCP SDU丢包个数,小区下行PDCP SDU丢包个数,小区上行PDCP 总的SDU个数,小区下行PDCP 总的SDU个数,[LTE]RLC PDU重传率
1,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),81,FGZ0173211H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.77%,0.19%,4.30%,0.19%,4.30%,0,4.30%,12.03%,2,0.0561,3,0.1961,3,0,3.3824,0,0.0049,3.5503,0,0.0085,0,0,0.00%,0.00%,-119.99,-119,-119,,,,,,,,,,,,249020,0,16,7360,9703,0.00%
2,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),82,FGZ0173212H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,6.93%,0.07%,4.38%,0.07%,4.38%,0,4.38%,12.79%,2,0.0129,3,0.1267,3,0,0.1068,0,0.0004,9.9202,0,0.011,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,606354,0,0,1814,3750,0.00%
3,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),83,FGZ0173213H1_二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.64%,0.14%,4.20%,0.14%,4.20%,0,4.20%,11.83%,2,0.0527,3,0.1978,3,0,2.9615,0,0.0049,6.0616,0,0.005,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,293989,0,0,6588,8852,0.00%
4,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),84,FGZ0173214R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.92%,0.45%,5.77%,0.45%,5.77%,0,5.77%,8.13%,4,0.2014,10,2.2128,10,2,0.6381,0,0.0088,7.7649,0,0.0446,0,0.02,0.00%,0.00%,-118.52,-118,-119,,,,,,,,,,,,1091308,0,47,25950,29892,0.00%
5,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),85,FGZ0173215R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,0,0,0,0,0,0.00%
6,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),86,FGZ0173216R1_平阴黄河特钢南-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,9.86%,0.05%,4.74%,0.05%,4.74%,0,4.74%,10.50%,3,0.0516,4,0.2267,4,0,0.1237,0,0.0008,6.5786,0,0.0227,0,0.01,0.00%,0.00%,-119.78,-119,-119,,,,,,,,,,,,407950,0,0,3373,17667,0.00%
7,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),87,FGZ0173217R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.73%,0.05%,4.58%,0.05%,4.58%,0,4.58%,10.24%,1,0.0252,3,0.22,3,0,0.0435,0,0.0003,5.0341,0,0.0104,0,0,0.00%,0.00%,-119.87,-119,-119,,,,,,,,,,,,331444,0,202,1783,4552,0.00%
8,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),88,FGZ0173218R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.84%,0.12%,4.70%,0.12%,4.70%,0,4.70%,10.37%,2,0.0281,3,0.1844,3,0,0.8787,0,0.0026,6.6115,0,0.0119,0,0,0.00%,0.00%,-119.92,-119,-119,,,,,,,,,,,,1120046,0,0,5368,5558,0.00%
9,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店(721500),89,FGZ0173219R1_汇九精锻-二级店,721500,CGZ017321H_二级店_平阴黄河特钢南_汇九精锻-二级店,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,4.67%,0.09%,4.43%,0.09%,4.43%,0,4.43%,10.49%,3,0.0805,4,0.2744,4,0,5.8252,0,0.0058,4.0229,0,0.0064,0,0,0.00%,0.00%,-119.27,-119,-119,,,,,,,,,,,,107601,0,0,9163,11625,0.00%
10,2018/4/15 18:00,2018/4/15 19:00,1小时,5310,平阴GNF(5310),721502,CGZ017324H_平阴移动_裕腾药业_玛钢体育馆-平阴移动(721502),81,FGZ0173241H1_平阴移动,721502,CGZ017324H_平阴移动_裕腾药业-平阴移动,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,7.03%,0.22%,4.46%,0.22%,4.46%,0,4.46%,10.46%,2,0.0914,4,0.5356,4,0,0.4761,0,0.004,11.9464,0,0.0334,0,0.01,0.00%,0.00%,-120,-120,-120,,,,,,,,,,,,1370125,0,47,14561,19656,0.00%
